SC,名称,決算期,決算発表日(本決算),売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),自己資本比率,ROE,ROA,発行済株式数(更新日時点)
5391,エーアンドエーマテリアル,202603,20260508,45700,1674,1614,1701,43440,17165,3889,8918,39.5,9.5,4.04,7778000
5408,中山製鋼所,202603,20260508,148306,4911,4806,2462,152371,109149,20044,8515,71.6,2.28,1.63,63079256
5411,JFEホールディングス,202603,20260508,4539270,112203,87417,70165,5895238,2619536,171310,1959385,44.4,2.73,1.22,639438399
5464,モリ工業,202603,20260508,43288,4378,4879,3358,72659,58493,7360,1970,80.5,5.89,4.71,38831900
5480,日本冶金工業,202603,20260508,150866,10973,9657,7215,219411,101108,24301,77131,46.1,7.31,3.3,15497333
5727,東邦チタニウム,202603,20260508,83389,4400,4739,2847,129697,60128,11963,56484,46.4,4.81,2.24,71270910
5742,エヌアイシ・オートテック,202603,20260508,6305,-13,5,24,5970,3269,156,1215,54.8,0.72,0.36,5500000
5830,いよぎんホールディングス,202603,20260508,266118,76348,99206,74253,9539812,877704,20000,-,9.2,8.84,0.79,313408831
5941,中西製作所,202603,20260508,41008,3049,3169,2210,33899,22475,1445,3952,66.3,10.3,6.87,6306000
6023,ダイハツインフィニアース,202603,20260508,88066,7621,7959,5920,110498,49380,2434,19385,44.7,12.66,5.73,31850000
6088,シグマクシス・ホールディングス,202603,20260508,23831,6064,6351,3971,17069,14262,3000,-,83.6,27.83,21.58,86000000
6147,ヤマザキ,202603,20260508,2327,-260,-280,-360,3238,1041,972,1481,32.1,-29.34,-10.01,4579000
6155,高松機械工業,202603,20260508,12722,-64,-70,-107,20828,16307,1835,1207,78.3,-0.66,-0.5,11020000
6158,和井田製作所,202603,20260508,6659,254,355,275,12535,10567,843,424,84.3,2.64,2.19,7028000
6222,島精機製作所,202603,20260508,33509,-1720,288,856,109531,82339,14859,16199,75.2,1.07,0.82,34800000
6413,理想科学工業,202603,20260508,78990,5111,5872,4378,95201,68792,14114,5974,72.3,6.47,4.76,72000000
6448,ブラザー工業,202603,20260508,893464,77868,81973,67624,1018815,763277,19209,991,74.9,9.3,6.93,257755930
6557,AIAIグループ,202603,20260508,14633,1105,933,621,26907,3246,26,19422,12.1,20.51,3.15,6690762
6629,テクノホライゾン,202603,20260508,51380,2332,2886,2462,39412,12277,2500,12984,31.2,22.02,6.41,21063300
6643,戸上電機製作所,202603,20260508,30746,3748,3988,2675,33428,24148,2899,598,72.2,11.49,8.13,4795458
6745,ホーチキ,202603,20260508,105855,12066,12344,9377,97936,68403,3798,-,69.8,14.71,10,79200000
6758,ソニーグループ,202603,20260508,12479620,1447507,1422374,-326865,15683490,8119011,881357,1041986,51.8,-4.01,-1.28,6149810645
6804,ホシデン,202603,20260508,448250,19236,24644,16206,215281,150243,13660,10161,69.8,11.16,7.8,58502584
6832,アオイ電子,202603,20260508,38323,306,728,70,62706,43245,4545,9670,69,0.16,0.12,12000000
6882,三社電機製作所,202603,20260508,26651,1386,1137,381,32724,24925,2774,2200,76.2,1.55,1.15,14950000
6901,澤藤電機,202603,20260508,25014,312,525,33,27930,13084,1080,7188,46.8,0.26,0.12,4322000
6976,太陽誘電,202603,20260508,355341,19996,24129,14806,615536,344412,33575,171212,56,4.47,2.49,130218481
6996,ニチコン,202603,20260508,169724,6456,8326,6310,195570,119604,14286,24150,61.2,5.49,3.25,70000000
7013,IHI,202603,20260508,1643402,165534,185490,160992,2428559,652243,107165,359533,26.9,28.39,6.9,1082759678
7040,サン・ライフホールディング,202603,20260508,14149,1102,1272,619,35977,6906,100,-,19.2,9.16,1.72,6820000
7089,フォースタートアップス,202603,20260508,5268,1120,1053,817,4961,2752,239,399,55.5,33.22,18.94,6613200
7130,ヤマエグループホールディングス,202603,20260508,1085219,18080,18669,11082,454068,107799,9275,110712,23.7,11.25,2.6,27766452
7134,アップガレージグループ,202603,20260508,15384,1103,1129,780,7390,5133,527,150,69.5,16.02,11.16,7926900
7164,全国保証,202603,20260508,58739,41382,46554,32526,500831,245148,10703,30000,48.9,13.45,6.55,137743580
7173,東京きらぼしフィナンシャルグループ,202603,20260508,199262,-,60478,42357,7317357,423371,27500,-,5.7,10.66,0.59,30650115
7203,トヨタ自動車,202603,20260508,50684952,3766216,5152996,3848098,105522331,39918854,397050,43205469,37.8,10.15,3.87,15794987460
7211,三菱自動車工業,202603,20260508,2896536,75517,78908,10015,2418145,919463,284382,358188,38,1.08,0.43,1460476846
7224,新明和工業,202603,20260508,285024,16329,16324,11507,296056,124882,15981,48960,42.2,9.71,4.09,70000000
7291,日本プラスト,202603,20260508,114861,2647,2499,2012,85450,37503,3206,25558,43.9,5.59,2.38,19410000
7399,ナンシン,202603,20260508,9777,211,297,232,14613,12133,1696,350,83,1.94,1.6,7708000
7412,アトム,202603,20260508,30408,25,-22,-1507,14519,3680,100,5180,25.3,-27.44,-8.99,193559297
7421,カッパ・クリエイト,202603,20260508,73193,532,592,-394,28987,10211,100,6450,35.2,-3.74,-1.31,49414578
7442,中山福,202603,20260508,43052,531,842,667,33050,23681,1706,2391,71.7,2.89,2.03,20214480
7464,セフテック,202603,20260508,10111,245,264,143,11659,7285,886,2363,62.5,1.97,1.19,2000000
7466,SPK,202603,20260508,75246,3587,3889,2692,47797,29176,898,8324,61,9.6,5.85,20907600
7472,鳥羽洋行,202603,20260508,29061,1494,1612,1107,29204,21794,1148,-,74.6,5.18,3.69,4700000
7504,高速,202603,20260508,124191,4865,5238,3764,63178,42516,1724,-,67.3,9.15,6.05,20990920
7509,アイエーグループ,202603,20260508,39841,1828,1903,1383,27857,16754,1314,3135,60.1,8.56,4.94,1645360
7600,日本エム・ディ・エム,202603,20260508,23917,574,534,263,35678,25400,3001,5651,71.2,1.05,0.76,26475880
7616,コロワイド,202603,20260508,300090,9407,6547,2233,350931,84232,43814,145790,24,2.76,0.67,106453541
7723,愛知時計電機,202603,20260508,59116,4710,5208,4801,70284,52583,3218,700,74.8,9.66,7.22,15420000
7731,ニコン,202603,20260508,677163,-112448,-106511,-86088,1075007,586785,65476,219957,54.6,-14.06,-7.88,333585686
7791,ドリームベッド,202603,20260508,12174,703,686,479,11513,4844,785,4420,42.1,10.24,4.21,4152820
7917,ZACROS,202603,20260508,158535,11054,12303,7707,156791,94846,6600,10480,60.5,8.26,4.96,77071040
7966,リンテック,202603,20260508,319385,25156,25666,17374,342725,257439,23355,4824,75.1,6.91,5.09,72488740
7971,東リ,202603,20260508,112337,5100,5733,4459,99639,51809,6855,10180,52,8.93,4.6,60129249
