SC,名称,決算期,決算発表日(本決算),売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),自己資本比率,ROE,ROA,発行済株式数(更新日時点)
8905,イオンモール,202502,20250411,449753,52146,42595,14260,1663276,498946,42389,669904,30,2.96,0.86,227571139
8908,毎日コムネット,202405,20240712,20772,2292,2218,1484,28821,12033,775,12197,41.8,12.87,5.29,18000000
8912,エリアクエスト,202406,20240808,2329,113,220,134,4346,1623,991,662,37.3,8.26,3.29,17145800
8914,エリアリンク,202412,20250214,24695,4906,4714,3200,55919,26769,6111,19536,47.9,12.36,6.06,25881800
8917,ファースト住建,202410,20241216,35985,1828,1799,2496,61171,39676,1584,13281,64.9,6.45,4.38,16901900
8918,ランド,202502,20250410,5092,977,970,874,10017,8893,50,571,88.8,10.62,8.8,1545140000
8919,カチタス,202403,20240507,126718,12672,12321,8497,77366,40289,3778,26500,52.1,22.38,11.83,78650640
8920,東祥,202403,20240510,30927,3958,4098,-2229,74219,35175,1580,22397,47.4,-6.13,-2.83,38315000
8923,トーセイ,202411,20250110,82191,18488,17364,11985,276815,90500,6624,165900,32.7,13.89,4.59,48683800
8927,明豊エンタープライズ,202407,20240912,20562,2341,1895,1375,28104,7985,614,16897,28.4,18.34,5.44,30539900
8928,穴吹興産,202406,20240808,134499,5718,7154,4843,136303,40378,755,70921,29.6,12.66,3.68,11535600
8929,青山財産ネットワークス,202412,20250213,45618,3506,3480,2428,22392,9773,1259,5970,43.6,25.2,10.58,25107659
8931,和田興産,202502,20250411,40130,5285,4502,3122,110655,32929,1403,57356,29.8,9.82,2.95,11100000
8934,サンフロンティア不動産,202403,20240510,79868,17600,17374,11917,188661,90519,11965,79540,48,13.92,6.99,48755500
8935,FJネクストホールディングス,202403,20240513,100405,9431,9434,6453,95281,68031,2774,12753,71.4,9.85,7.01,34646500
8938,グローム・ホールディングス,202403,20240515,1238,-144,-192,-198,8362,7610,3049,-,91,-2.56,-2.36,9051000
8940,インテリックス,202405,20240712,42702,931,607,414,40710,11854,2253,25668,29.1,3.51,0.96,8932100
8944,ランドビジネス,202409,20241114,9975,-1551,-1963,-2099,52032,16498,4969,29663,31.7,-11.92,-3.96,26780800
8945,サンネクスタグループ,202406,20240809,8371,653,653,1775,10894,7729,996,-,70.9,23.65,16.93,10809800
8946,ASIANSTAR,202412,20250213,3351,51,59,18,3329,2223,1705,238,66.8,0.82,0.52,23808200
8995,誠建設工業,202403,20240514,3189,178,192,131,6022,3962,578,1463,65.8,3.38,2.3,2012000
8996,ハウスフリーダム,202412,20250210,14488,882,768,484,16110,3370,328,11225,20.9,14.72,2.96,4110000
8999,グランディハウス,202403,20240513,51521,1175,877,416,74468,25047,2077,43407,33.6,1.62,0.57,30823200
9001,東武鉄道,202503,20250430,631461,74604,72716,51330,1753200,554508,102135,779054,31.6,9.42,2.97,201215421
9003,相鉄ホールディングス,202503,20250425,292178,37820,34812,22407,757264,181985,38803,415467,24,12.93,3.04,98145499
9005,東急,202403,20240513,1037819,94905,99292,63763,2652073,789256,121724,1255526,29.8,8.34,2.42,624869876
9006,京浜急行電鉄,202403,20240510,280624,28040,28402,83750,1086902,355108,43738,487373,32.7,26.75,8.28,275760547
9007,小田急電鉄,202403,20240514,409837,50766,50670,81524,1301567,459253,60359,576973,35.3,19.26,6.32,368497717
9008,京王電鉄,202403,20240510,408694,43840,43485,29243,1079388,393184,59023,435352,36.4,7.85,2.87,119701730
9009,京成電鉄,202403,20240426,296509,25241,51591,87657,1064202,451622,36803,339881,42.4,20.71,8.64,517233555
9010,富士急行,202403,20240508,50701,8151,7936,4571,100537,31336,9126,52148,31.2,15.98,4.54,54884738
9012,秩父鉄道,202403,20240515,4913,16,19,92,16453,4918,750,5555,29.9,1.85,0.55,1500000
9017,新潟交通,202403,20240515,19417,1682,1315,1064,56669,18090,4220,27282,31.9,6.07,1.88,3864000
9020,東日本旅客鉄道,202503,20250430,2887553,376786,321564,224285,10174224,2859544,200000,4648645,28.1,8.04,2.25,1134412200
9021,西日本旅客鉄道,202503,20250502,1707944,180161,165670,113958,3752359,1156654,226136,1443294,30.8,10.07,3.03,471009800
9022,東海旅客鉄道,202503,20250430,1831847,702794,649294,458423,10323345,4600536,112000,4308098,44.6,10.45,4.52,1030000000
9023,東京地下鉄,202503,20250428,407832,86942,77008,53748,2029745,716529,58100,1086811,35.3,7.76,2.65,581000000
9024,西武ホールディングス,202403,20240509,477598,47711,43000,26990,1635019,426714,50000,746473,26.1,6.75,1.67,323462920
9025,鴻池運輸,202403,20240510,315029,16634,17034,11349,277056,133267,1723,64765,48.1,8.92,4.18,56952442
9028,ゼロ,202406,20240808,140751,6222,6227,4150,70733,37210,3390,5100,52.6,11.77,6.52,17560242
9029,ヒガシホールディングス,202403,20240510,40635,2190,2309,1506,25535,12311,1001,5192,48.2,12.99,6.44,13264000
9031,西日本鉄道,202403,20240510,411649,25877,24538,24723,727002,229034,26157,316838,31.5,11.67,3.5,79360186
9033,広島電鉄,202403,20240514,30466,-1088,-970,656,98398,40647,2335,25716,41.3,1.66,0.68,30445500
9034,南総通運,202403,20240515,15480,1958,1947,1583,35177,21663,538,9323,61.6,7.52,4.53,10000000
9036,東部ネットワーク,202403,20240514,10304,315,401,78,24500,20183,553,312,82.4,0.4,0.33,5749000
9037,ハマキョウレックス,202403,20240520,140572,12569,13136,8305,154892,83937,6547,23511,54.2,10.3,5.58,76048000
9039,サカイ引越センター,202403,20240508,116861,12744,12904,8359,120811,89312,4731,4145,73.9,9.74,7.25,42324000
9041,近鉄グループホールディングス,202403,20240515,1629529,87430,84638,48073,2454316,519255,126476,1236892,21.2,10,1.97,190662061
9042,阪急阪神ホールディングス,202403,20240514,997611,105689,109413,67801,3052930,978237,99474,1160627,32,7.19,2.29,253008756
9044,南海電気鉄道,202503,20250430,260787,34655,35572,22496,976877,311215,72983,432950,31.9,7.45,2.33,113402446
9045,京阪ホールディングス,202403,20240510,302147,33904,33111,24890,820224,298488,51466,338325,36.4,8.78,3.12,113182703
9046,神戸電鉄,202403,20240513,22313,1859,1358,1024,90451,22942,11710,54882,25.4,4.64,1.13,8061566
9048,名古屋鉄道,202403,20240510,601121,34750,37544,24400,1303205,437965,101158,488205,33.6,5.79,1.93,196700692
9049,京福電気鉄道,202403,20240510,14042,1913,1945,2089,23002,10719,1000,6554,46.6,21.68,9.46,2000000
9051,センコン物流,202403,20240515,17543,561,588,383,18029,5500,1262,7982,30.5,7.16,2.15,5651000
9052,山陽電気鉄道,202403,20240514,39220,4326,4469,3110,114533,54377,10090,39188,47.5,5.98,2.76,22330598
9057,遠州トラック,202403,20240510,46940,2615,2678,2045,39304,21536,1284,11094,54.8,9.81,5.44,7546000
9059,カンダホールディングス,202403,20240515,51123,3432,3531,2273,46729,24025,1772,7646,51.4,9.87,5.11,23308720
9060,日本ロジテム,202403,20240515,62972,1017,995,499,47868,14866,3145,18166,31.1,3.5,1.06,1383310
9063,岡山県貨物運送,202403,20240510,37693,640,924,2495,46425,22488,2420,13600,48.4,11.76,5.41,2200000
9064,ヤマトホールディングス,202503,20250501,1762696,14206,19587,37937,1267428,589259,127234,120583,46.5,6.46,3.16,360496492
9065,山九,202403,20240513,563547,35216,36631,24379,505045,282048,28619,72596,55.8,8.84,4.94,55470257
9066,日新,202403,20240509,169934,8073,9463,8649,174346,96603,6097,23296,55.4,9.68,5.28,15512769
9067,丸運,202403,20240509,44992,509,704,416,36886,24733,3559,1370,67.1,1.7,1.12,28965449
9068,丸全昭和運輸,202403,20240509,140194,13204,14271,9741,191357,125928,10127,28675,65.8,8.11,5.28,20618244
9069,センコーグループホールディングス,202403,20240513,778370,29906,30503,15944,685120,179208,28479,277190,26.2,9.39,2.52,175692457
9070,トナミホールディングス,202403,20240514,142072,5774,6795,4061,169244,92190,14182,27688,54.5,4.53,2.45,9761011
9072,ニッコンホールディングス,202403,20240510,222324,21235,23875,16608,388446,245940,11316,79059,63.3,7,4.43,126479784
9073,京極運輸商事,202403,20240515,8414,32,123,60,8072,4327,160,897,53.6,1.45,0.77,3200000
9074,日本石油輸送,202403,20240513,34985,1561,1788,1154,41089,25006,1661,301,60.9,4.85,2.96,3322935
9075,福山通運,202403,20240515,287563,10448,12973,7834,503391,294654,30310,98146,58.5,2.79,1.6,40770363
9076,セイノーホールディングス,202403,20240514,642811,23403,24496,14561,689525,430381,42481,37339,62.4,3.33,2.09,187679783
9081,神奈川中央交通,202503,20250430,118149,7388,7745,5083,165444,57728,3160,60348,34.9,9.08,3.13,12600000
9082,大和自動車交通,202403,20240515,18377,-466,-440,-532,30075,9105,525,13928,30.3,-5.74,-1.8,5250000
9083,神姫バス,202403,20240514,49480,3145,3283,2251,63070,47392,3140,1904,75.1,4.88,3.64,6172000
9087,タカセ,202403,20240510,8190,171,224,305,9908,7225,2133,1335,72.9,4.32,3.06,2109026
9090,AZ-COM丸和ホールディングス,202403,20240513,198554,13845,14498,9119,134594,55117,9117,40722,41,20.03,7.4,137984520
9101,日本郵船,202403,20240508,2387240,174679,261341,228603,4254770,2650372,144319,816010,62.3,8.91,5.69,461000000
9104,商船三井,202503,20250430,1775470,150851,419703,425492,4984449,2686462,66562,1704970,53.9,16.88,9.35,362841027
9107,川崎汽船,202403,20240507,962300,84763,135796,104776,2109432,1591926,75457,263242,75.5,6.74,5.03,639172067
9110,NSユナイテッド海運,202503,20250430,247408,20224,19015,18621,287948,162738,10300,85316,56.5,11.92,6.48,23970679
9115,明海グループ,202403,20240515,65018,11398,5836,5189,276457,42774,1800,167378,15.5,13.29,1.88,36000000
9119,飯野海運,202403,20240507,137950,19063,21800,19745,293228,132069,13092,118764,45,16.27,7.07,108900000
9127,玉井商船,202403,20240515,6219,870,995,731,11818,7329,702,2648,62,10.59,6.39,1932000
9130,共栄タンカー,202403,20240510,14178,-124,186,146,70528,19367,2850,44688,27.5,0.78,0.21,7650000
9142,九州旅客鉄道,202403,20240509,420402,47094,48936,38445,1089170,441428,16000,400299,40.5,9.07,3.69,157301600
9143,SGホールディングス,202403,20240430,1316940,89204,90850,58279,897049,577510,11882,58183,64.4,10.3,6.47,640394400
9145,ビーイングホールディングス,202412,20250213,30190,2243,2257,1374,18222,7103,696,5107,39,21.1,7.84,6025000
9147,NIPPON_EXPRESSホールディングス,202412,20250214,2577643,49078,51885,31733,2297146,853949,70175,326084,37.2,3.84,1.44,261000000
9158,シーユーシー,202503,20250428,47043,5343,5246,3131,85167,29678,7669,23465,34.8,10.99,4.23,29990400
9159,W_TOKYO,202406,20240814,3957,508,496,327,3098,1652,238,895,53.3,22.38,10.51,2754400
9160,ノバレーゼ,202412,20250214,19299,1337,975,663,34732,8846,100,13528,25.5,7.79,1.98,25073094
9161,ID＆Eホールディングス,202406,20240814,158983,14124,15264,9677,206386,90956,7522,43311,44.1,10.64,4.69,15094372
9162,ブリーチ,202406,20240814,13806,-367,-429,-554,12900,9233,3375,2520,71.6,-8.88,-5.16,25484200
9163,ナレルグループ,202410,20241213,21608,3110,3059,2187,23617,13440,403,5571,56.9,17.07,9.48,8747349
9164,トライト,202412,20250213,57116,5186,4325,2917,77563,27845,10,27765,35.9,10.85,3.7,100000000
9165,クオルテック,202406,20240809,3623,381,366,270,4140,3155,392,167,76.2,9.76,7.38,2350000
9166,GENDA,202501,20250312,111786,7965,7305,3304,114368,35479,7436,48808,31,12.03,3.97,162659704
9168,ライズ・コンサルティング・グループ,202502,20250414,7680,1958,1908,1418,9200,6314,174,1595,68.6,24.73,16,24663040
9171,栗林商船,202403,20240510,48885,1533,2061,1673,77932,26441,1215,17719,33.9,6.98,2.25,12739696
9173,東海汽船,202412,20250214,14604,582,553,293,22506,4772,1100,11891,21.2,6.4,1.3,2200000
9193,東京汽船,202403,20240515,12515,368,684,572,29118,21600,500,2175,74.2,2.7,1.98,10010000
9201,日本航空,202503,20250502,1844095,168605,158900,107038,2794913,975058,273200,896023,34.9,11.36,3.93,437143500
9202,ANAホールディングス,202503,20250430,2261856,196639,200086,153027,3620297,1130317,467601,1340995,31.2,14.07,4.26,484293561
9204,スカイマーク,202403,20240515,104075,4668,7463,2997,110790,27857,100,30500,25.1,11.58,2.74,60329400
9206,スターフライヤー,202503,20250430,42900,1230,1933,1923,24531,4280,1895,2605,17.4,51.38,8,3600390
9211,エフ・コード,202412,20250214,5130,1432,1322,905,21749,6727,27,7288,30.9,18.25,5.53,12371000
9212,Green_Earth_Institute,202409,20241114,1002,-148,-138,-133,2736,1975,1600,145,72.2,-6.51,-4.92,11290900
9213,セイファート,202412,20250214,2130,21,28,20,1745,1082,266,14,62,1.83,1.12,1320800
9214,Recovery_International,202412,20250212,2043,180,201,145,1037,708,203,-,68.3,21.29,14.96,1414000
9215,CaSy,202411,20250114,1761,7,6,5,538,245,50,79,45.5,2.07,0.98,1892000
9216,ビーウィズ,202405,20240711,38253,2543,2527,1833,14096,9190,893,24,65.2,21.53,13.94,14096400
9218,メンタルヘルステクノロジーズ,202412,20250214,5134,109,39,-29,4625,1096,545,2568,23.7,-2.62,-0.91,10369300
9219,ギックス,202406,20240814,2117,133,132,88,2352,1979,286,45,84.1,4.45,3.74,5584831
9220,エフビー介護サービス,202403,20240515,10361,527,802,523,9499,3478,496,3603,36.6,16.09,5.65,2516000
9221,フルハシEPO,202403,20240514,8753,1039,1246,263,11325,5023,1497,2860,44.4,5.22,2.32,11779600
9223,ASNOVA,202403,20240514,3785,349,324,210,9386,3027,247,5841,32.3,7.22,2.52,12438400
9225,ブリッジコンサルティンググループ,202409,20241114,2017,231,231,169,1476,1059,182,89,71.7,15.96,11.45,2065000
9227,マイクロ波化学,202403,20240510,1863,134,130,-944,1894,856,2848,209,45.2,-73.69,-37.98,15852700
9229,サンウェルズ,202403,20240509,20107,2237,1685,779,31518,5110,35,6511,16.2,14.87,3.07,35220000
9233,アジア航測,202409,20241115,40270,2850,3039,1902,36413,20953,1673,1767,57.5,9.34,5.43,18614000
9235,売れるネット広告社グループ,202407,20240913,756,-308,-315,-326,1428,693,198,387,48.5,-47.04,-22.83,7375516
9236,ジャパンM＆Aソリューション,202410,20241213,602,-14,-14,-11,770,699,258,-,90.8,-1.7,-1.45,1519300
9237,笑美面,202410,20241213,1301,216,213,179,1128,720,268,115,63.8,30.24,18.68,2025190
9238,バリュークリエーション,202502,20250414,3431,121,131,86,4304,581,157,689,13.5,15.78,2.17,2300800
9240,デリバリーコンサルティング,202407,20240913,2703,211,210,155,1487,1065,157,51,71.6,15.52,11.05,4834700
9241,フューチャーリンクネットワーク,202408,20241015,1515,-38,-39,2,904,238,277,286,26.3,0.86,0.24,845208
9242,メディア総研,202407,20240913,1155,189,193,105,1550,1305,249,-,84.2,8.44,7.22,1230300
9244,デジタリフト,202409,20241114,3326,33,-48,-74,2286,605,138,1224,26.5,-11.54,-3.51,1568700
9245,リベロ,202412,20250214,3586,455,474,338,5826,2250,433,-,38.6,16.31,6.61,5362000
9246,プロジェクトホールディングス,202412,20250214,5279,-187,-229,-393,5540,2241,50,2229,40.5,-16.08,-7.03,5872450
9247,TREホールディングス,202403,20240515,92860,7769,7787,3623,142159,67139,10000,52600,47.2,5.46,2.64,52610712
9248,人・夢・技術グループ,202409,20241126,39814,1790,1756,-190,37317,20100,3107,4363,53.9,-0.93,-0.52,9416000
9249,日本エコシステム,202409,20241114,9301,764,806,622,9252,5397,1000,1910,58.3,12.62,7.06,8712300
9250,GRCS,202411,20250114,3288,44,25,112,1923,392,363,648,20.4,39.65,6.67,1380130
9251,AB＆Company,202410,20241213,18183,1740,1581,1076,24747,8472,195,7200,34.2,12.65,4.38,15159714
9252,ラストワンマイル,202408,20241018,11771,940,902,825,9780,3350,415,2403,34.3,34.39,12.57,3298070
9253,スローガン,202502,20250411,1350,124,119,86,2094,1488,15,-,71.1,5.88,4.23,2751375
9254,ラバブルマーケティンググループ,202410,20241213,2161,137,147,72,1726,262,50,965,15.2,17.69,4.6,1446775
9256,サクシード,202403,20240509,3227,332,332,223,2762,2207,337,-,79.9,10.66,8.54,3578700
9257,YCPホールディングス（グローバル）リミテッド（外国株）,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9258,CS-C,202409,20241114,2725,-4,-3,-9,2896,2298,761,5,79.4,-0.39,-0.32,6662300
9259,タカヨシホールディングス,202409,20241111,7838,906,901,540,7713,2829,696,2068,36.7,19.09,7,5610500
9262,シルバーライフ,202407,20240912,13555,768,965,668,9875,6423,731,1711,65,10.83,6.87,10862800
9264,ポエック,202408,20241015,8371,555,430,195,11350,4114,1664,5767,36.2,4.83,1.85,4700826
9265,ヤマシタヘルスケアホールディングス,202405,20240712,61555,967,1020,580,26557,8542,494,-,32.2,7.05,2.27,2553000
9267,Genky_DrugStores,202406,20240729,184860,9015,9268,6324,113939,46573,1024,30496,40.9,14.51,5.75,30996968
9268,オプティマスグループ,202403,20240515,123934,6889,5235,2854,137578,19559,479,88613,14.2,15.67,3.04,76847420
9270,バリュエンスホールディングス,202408,20241011,81468,-426,-764,-1709,26648,6530,1295,16072,24.5,-22.76,-6.29,13744460
9271,和心,202412,20250213,2094,416,389,398,1275,521,50,431,40.9,128.8,34.62,6412500
9272,ブティックス,202403,20240514,4414,916,911,608,4856,2021,50,1412,41.6,30.08,12.52,10160400
9273,コーア商事ホールディングス,202406,20240809,22134,4382,4368,2946,32004,25051,1338,2824,78.3,12.82,9.74,42119980
9274,KPPグループホールディングス,202403,20240514,644435,15819,12475,10613,344562,81812,4723,86029,23.7,14.19,3.14,67244284
9275,ナルミヤ・インターナショナル,202502,20250403,39152,1860,1819,1403,13996,7027,255,1917,50.2,21.53,9.97,10122830
9278,ブックオフグループホールディングス,202405,20241015,111657,3051,3448,1705,54542,20236,100,19103,37.1,8.72,3.26,20547413
9279,ギフトホールディングス,202410,20241213,28472,2909,2972,1875,17099,8372,824,3998,49,24.77,12.66,19995431
9301,三菱倉庫,202503,20250430,284069,20310,18620,31864,626058,374669,22393,102033,59.8,8.17,4.88,378882295
9302,三井倉庫ホールディングス,202403,20240510,260593,20754,21010,12107,263543,109908,11219,76736,41.7,11.92,4.64,74953206
9303,住友倉庫,202403,20240510,184661,13187,16880,12490,436920,255131,14922,91180,58.4,5.29,3.04,77747315
9304,澁澤倉庫,202403,20240510,73417,4271,5091,3728,112772,61737,7847,27222,54.7,6.28,3.26,15217747
9305,ヤマタネ,202403,20240510,64512,3489,3184,2442,153687,51765,10555,70546,33.7,5.07,1.75,11344181
9306,東陽倉庫,202403,20240510,27875,1129,1820,1369,47534,25197,3412,15623,53,5.65,2.93,7864990
9307,杉村倉庫,202503,20250430,11235,1366,1379,917,22353,16775,2630,2848,75,5.6,4.13,16419110
9308,乾汽船,202403,20240513,29494,1678,1917,1194,66505,31618,2767,28673,47.5,3.64,1.75,26072960
9310,日本トランスシティ,202403,20240513,122555,6241,7352,4633,160323,85521,8428,41712,53.3,5.72,3.11,67142417
9311,アサガミ,202403,20240515,39634,1537,1636,858,45549,20114,2189,11962,44.2,4.39,1.89,1418000
9312,ケイヒン,202403,20240510,46520,2668,2988,2049,49499,28235,5376,8316,57,7.78,4.36,6536445
9313,丸八倉庫,202411,20250110,4991,619,634,901,18832,12117,2527,4365,64.3,7.77,4.85,7300000
9319,中央倉庫,202403,20240510,26512,1934,2229,1698,58016,45331,2734,6007,78.1,3.86,2.97,19064897
9322,川西倉庫,202403,20240510,24993,1159,1233,796,38138,20620,2108,8940,54.1,3.99,2.1,8258322
9324,安田倉庫,202403,20240507,67384,2642,3951,2302,211656,93405,3602,77049,44.1,2.7,1.22,30360000
9325,ファイズホールディングス,202403,20240509,27530,1319,1365,853,7743,3285,326,606,42.4,28.06,11.68,10822800
9326,関通,202502,20250411,15270,-47,-92,-848,10319,2090,788,6199,20.3,-33.17,-8.22,10308150
9327,イー・ロジット,202403,20240515,13121,-1193,-1179,-2466,4342,-1084,604,1706,-,-,-56.79,7459000
9330,揚羽,202409,20241114,1560,1,42,27,1292,955,279,99,73.9,2.87,1.96,1428500
9331,キャスター,202408,20241011,4440,-151,-158,-217,2455,1103,190,525,44.9,-19.67,-8.84,1960460
9332,NISSOホールディングス,202403,20240509,96858,3058,3056,1952,31354,15058,2016,2062,48,12.96,6.23,34024720
9336,大栄環境,202403,20240513,73035,19714,20589,13591,172796,87557,5907,61067,50.7,16.37,8.08,99892900
9337,トリドリ,202412,20250213,4273,454,437,258,4841,1419,89,1748,29.3,19.8,6.35,3279420
9338,INFORICH,202412,20250213,10701,1662,1751,2061,18908,5319,37,6870,28.1,49.09,14.9,9617900
9339,コーチ・エィ,202412,20250210,3642,155,199,111,4345,3065,605,-,70.5,3.7,2.57,2342175
9340,アソインターナショナル,202406,20240813,3544,545,555,386,3184,2763,354,-,86.8,14.77,12.85,9768600
9341,GENOVA,202403,20240513,8683,2301,2309,1726,8199,5780,773,376,70.5,35.16,25.36,17806600
9342,スマサポ,202409,20241114,2674,108,112,106,689,441,213,-,64,27.32,17.29,2405200
9343,アイビス,202412,20250210,4625,1155,1170,839,3200,2094,390,43,65.4,49.64,31.61,3660044
9344,アクシスコンサルティング,202406,20240814,4665,833,831,502,4112,3166,758,74,77,17.25,13.19,5013540
9345,ビズメイツ,202412,20250214,3474,378,340,229,2696,1756,128,143,65.1,14.05,9.64,1608125
9346,ココルポート,202406,20240814,5750,704,718,525,3168,2349,563,8,74.1,25.25,18.5,3673550
9347,日本管財ホールディングス,202403,20240508,122674,8271,8225,5680,92645,68132,3000,512,73.5,8.34,6.13,41180306
9348,ispace,202403,20240510,2357,-5501,-6097,-2366,27033,9745,7775,12518,36,-,-13.83,105675203
9351,東洋埠頭,202403,20240514,34697,978,1152,980,48435,26397,8260,13223,54.5,3.91,2.07,7740000
9353,櫻島埠頭,202403,20240514,4112,235,335,211,10076,6265,770,1593,62.2,3.76,2.34,1540000
9355,リンコーコーポレーション,202403,20240510,13110,152,274,357,38589,17852,1950,9550,46.3,2.11,0.95,2700000
9360,鈴与シンワート,202403,20240514,17160,1021,1067,770,10714,3580,802,1327,33.4,23.1,7.37,3000000
9361,伏木海陸運送,202406,20240809,12935,741,714,468,23045,11053,1850,5985,48,4.33,2.06,2615400
9362,兵機海運,202503,20250430,13726,548,618,435,12546,4853,612,5228,38.7,9.19,3.41,1224000
9363,大運,202403,20240514,8091,194,264,291,5912,3741,2394,851,63.3,8.57,5.28,6228039
9364,上組,202403,20240510,266785,30592,34185,25035,483921,385666,31642,30000,79.7,6.62,5.33,106576837
9365,トレーディア,202403,20240514,15007,199,363,326,10412,4400,735,3827,42.3,8.07,3.13,1470000
9366,サンリツ,202403,20240513,19398,865,786,572,21356,10620,2523,5968,49.7,5.52,2.69,6006373
9367,大東港運,202403,20240514,16051,641,796,534,14736,9010,856,2138,61.1,6.13,3.7,9389000
9368,キムラユニティー,202503,20250428,61129,4603,5117,3300,64549,39212,3596,4162,60.7,8.47,5.11,47087600
9369,キユーソー流通システム,202411,20250109,195192,5562,4887,2660,130635,42902,4063,40276,32.8,6.4,2.13,25355800
9376,ユーラシア旅行社,202409,20241106,4598,106,120,120,2931,1748,312,-,59.6,7.02,4.32,3690000
9377,エージーピー,202403,20240513,12986,1059,1075,689,13796,9353,2038,607,67.8,7.44,5.08,13910000
9380,東海運,202403,20240515,39746,288,152,317,38729,16865,2294,7570,43.5,1.92,0.83,28923000
9381,エーアイテイー,202502,20250414,55638,4073,4532,3047,25538,19049,500,-,74.6,16.67,12.34,23913600
9384,内外トランスライン,202412,20250210,38016,4138,4492,3154,27396,22237,243,-,81.2,15.12,12.43,10698000
9385,ショーエイコーポレーション,202403,20240514,19446,776,1443,1009,9621,3801,715,3180,39.5,30.55,9.77,7850000
9386,日本コンセプト,202412,20250213,18229,2846,2882,1931,27562,19483,1134,1675,70.7,10.23,7.09,13868500
9399,ビート・ホールディングス・リミテッド（外国株）,-,-,-,-,-,-,-,-,-,-,-,-,-,18203556
9401,TBSホールディングス,202403,20240514,394309,15175,27653,38126,1567504,1137660,54986,3783,72.6,3.97,2.89,165591065
9404,日本テレビホールディングス,202403,20240509,423523,41877,49503,34660,1183299,918593,18600,5628,77.6,3.95,3.12,263822080
9405,朝日放送グループホールディングス,202403,20240513,90452,832,723,-884,123225,73024,5299,14071,59.3,-1.24,-0.72,41833000
9408,BSNメディアホールディングス,202403,20240513,23041,1341,1527,694,31563,21227,300,494,67.3,3.46,2.34,6000000
9409,テレビ朝日ホールディングス,202403,20240510,307898,12337,19919,17138,520432,421752,36699,-,81,4.21,3.38,108529000
9412,スカパーJSATホールディングス,202503,20250425,123721,27488,27290,19106,403414,281509,10172,55151,69.8,6.93,4.72,297681264
9413,テレビ東京ホールディングス,202403,20240515,148587,8836,9599,6736,147094,99075,10000,5716,67.4,7.01,4.69,27579500
9414,日本BS放送,202408,20241010,12241,2083,2097,1455,25894,23581,4190,-,91.1,6.3,5.75,17816932
9416,ビジョン,202412,20250213,35528,5365,5422,3375,25261,17467,2713,599,69.1,21.19,14.48,50938600
9417,スマートバリュー,202406,20240814,3814,-308,-312,-348,4037,1689,1044,829,41.8,-18.26,-8.81,10679800
9418,U-NEXT_HOLDINGS,202408,20241010,326754,29110,28321,15357,228962,81867,99,62888,35.8,20.43,7.15,180375333
9419,ワイヤレスゲート,202412,20250213,8462,305,301,283,2992,1314,933,300,43.9,24.67,9.5,10938574
9421,エヌジェイホールディングス,202406,20240809,9698,102,96,274,3943,1580,592,1100,40.1,18.99,6.73,5350400
9423,フォーバル・リアルストレート,202403,20240513,3066,169,170,130,1301,598,100,-,46,23.44,10.43,24277800
9424,日本通信,202403,20240509,7400,1139,1183,1365,4409,2769,545,-,62.8,65.44,36.65,165923739
9425,ReYuu_Japan,202410,20241213,4731,-64,-79,-86,1887,866,50,875,45.9,-8.97,-4.52,5741500
9428,クロップス,202403,20240514,54487,2127,2316,1206,33380,11407,255,2869,34.2,11,3.76,9597400
9432,日本電信電話,202403,20240510,13374569,1922910,1980457,1279521,29604223,9844160,937950,9591014,33.3,13.9,4.66,90550316400
9433,KDDI,202403,20240510,5754047,961584,992725,637874,14146060,5253362,141852,1984383,37.1,12.3,4.89,4383692832
9434,ソフトバンク,202403,20240509,6084002,876068,805912,489074,15521906,2377074,214394,6320887,15.3,21.25,3.24,47751490700
9435,光通信,202403,20240515,601948,94546,168000,122225,2078956,790478,54259,822493,38,17.95,6.48,44269642
9436,沖縄セルラー電話,202403,20240508,77990,17014,17188,12129,115573,95086,1414,-,82.3,12.51,10.31,48314982
9438,エムティーアイ,202409,20241107,27669,2394,2827,2363,29686,15447,5310,2430,52,16.07,8.03,60290800
9439,エム・エイチ・グループ,202406,20240816,1877,23,26,12,1857,561,215,142,30.2,2.23,0.65,11642100
9441,ベルパーク,202412,20250212,116038,4263,4352,3177,50663,34166,1148,70,67.4,9.61,6.47,20197800
9444,トーシンホールディングス,202404,20240619,17376,654,604,447,25088,3596,742,16629,14.3,12.98,1.85,6536800
9445,フォーバルテレコム,202403,20240513,23115,1023,1008,750,10299,2906,553,1300,28.2,28.05,7.03,16757700
9446,サカイホールディングス,202409,20241114,15484,1406,1322,1322,21129,4649,747,13698,22,29.8,6.07,10956500
9449,GMOインターネットグループ,202412,20250212,277407,46653,46565,13373,2151114,86340,5000,554872,4,15.84,0.68,108273680
9450,ファイバーゲート,202406,20240814,12613,2387,2395,1567,13076,5790,494,4442,44.3,29.88,12.13,20593600
9466,アイドママーケティングコミュニケーション,202403,20240513,5837,301,296,158,4581,2958,513,465,64.6,5.43,3.46,13520000
9467,アルファポリス,202403,20240510,10334,2272,2279,1403,13946,11689,863,37,83.8,12.77,10.64,29062200
9468,KADOKAWA,202403,20240509,258109,18454,20236,11384,340310,190593,40624,25349,56,5.79,3.15,148990296
